|Any
weapon|Any Weapon
weapon.onemelee|One-Handed Melee Weapon
weapon.twomelee|Two-Handed Melee Weapon
weapon.bow|Bow
weapon.claw|Claw
weapon.dagger|Dagger
weapon.oneaxe|One-Handed Axe
weapon.onemace|One-Handed Mace
weapon.onesword|One-Handed Sword
weapon.sceptre|Sceptre
weapon.staff|Staff
weapon.twoaxe|Two-Handed Axe
weapon.twomace|Two-Handed Mace
weapon.twosword|Two-Handed Sword
weapon.wand|Wand
weapon.rod|Fishing Rod
armour|Any Armour
armour.chest|Body Armour
armour.boots|Boots
armour.gloves|Gloves
armour.helmet|Helmet
armour.shield|Shield
armour.quiver|Quiver
accessory|Any Accessory
accessory.amulet|Amulet
accessory.belt|Belt
accessory.ring|Ring
gem|Gem
jewel|Jewel
jewel.abyss|Abyss Jewel
flask|Flask
map|Map
leaguestone|Leaguestone
prophecy|Prophecy
card|Card
monster|Captured Beast
currency|Currency
